"time","marketStatus","inplay","competitor","competitorStatus","backPrice1","backVolume1","layPrice1","layVolume1"
2018-06-20 16:03:52,"OPEN",TRUE,868018,"ACTIVE","22","2.23","24","2.19"
2018-06-20 16:03:52,"OPEN",TRUE,868018,"ACTIVE","22","3.09","28","7.4"
2018-06-20 16:03:53,"OPEN",TRUE,868018,"ACTIVE","22","2.1800000000000002","28","2.89"
2018-06-20 16:03:54,"OPEN",TRUE,868018,"ACTIVE","18.5","4.03","28","2.92"
2018-06-20 16:03:55,"OPEN",TRUE,868018,"ACTIVE","18.5","3.41","28","2.87"
2018-06-20 16:03:55,"OPEN",TRUE,868018,"ACTIVE","17","2.3199999999999998","17.5","3.58"
2018-06-20 16:03:56,"OPEN",TRUE,868018,"ACTIVE","17.5","2.06","26","3.15"
2018-06-20 16:03:57,"OPEN",TRUE,868018,"ACTIVE","17.5","4.0599999999999996","25","3.64"
2018-06-20 16:03:58,"OPEN",TRUE,868018,"ACTIVE","24","260.05","25","2.4900000000000002"
2018-06-20 16:03:58,"OPEN",TRUE,868018,"ACTIVE","24","252.55","25","2.57"
2018-06-20 16:03:59,"OPEN",TRUE,868018,"ACTIVE","24","252.55","25","2.57"
2018-06-20 16:04:00,"OPEN",TRUE,868018,"ACTIVE","24","252.55","25","2.33"
2018-06-20 16:04:00,"OPEN",TRUE,868018,"ACTIVE","25","2.5","30","3.09"
2018-06-20 16:04:01,"OPEN",TRUE,868018,"ACTIVE","27","2.5","32","3.75"
2018-06-20 16:04:02,"OPEN",TRUE,868018,"ACTIVE","24","176.55","34","5.92"
2018-06-20 16:04:02,"OPEN",TRUE,868018,"ACTIVE","24","176.55","34","5.92"
2018-06-20 16:04:03,"OPEN",TRUE,868018,"ACTIVE","24","171.55","34","5.16"
2018-06-20 16:04:04,"OPEN",TRUE,868018,"ACTIVE","24","172.2","27","2.5"
2018-06-20 16:04:05,"OPEN",TRUE,868018,"ACTIVE","24","152.19","29","2.5"
2018-06-20 16:04:05,"OPEN",TRUE,868018,"ACTIVE","24","152.19","34","5.16"
2018-06-20 16:04:06,"OPEN",TRUE,868018,"ACTIVE","24","152.19","34","4.63"
2018-06-20 16:04:07,"OPEN",TRUE,868018,"ACTIVE","24","152.19","32","2.1800000000000002"
2018-06-20 16:04:08,"OPEN",TRUE,868018,"ACTIVE","24","152.19","32","2.1800000000000002"
2018-06-20 16:04:08,"OPEN",TRUE,868018,"ACTIVE","24","152.19","34","3.45"
2018-06-20 16:04:09,"OPEN",TRUE,868018,"ACTIVE","24","152.19","34","2.38"
2018-06-20 16:04:10,"OPEN",TRUE,868018,"ACTIVE","24","152.19","34","2.38"
2018-06-20 16:04:11,"OPEN",TRUE,868018,"ACTIVE","24","136.82","34","2.38"
2018-06-20 16:04:11,"OPEN",TRUE,868018,"ACTIVE","24","112.82","34","2.38"
2018-06-20 16:04:12,"OPEN",TRUE,868018,"ACTIVE","24","112.82","30","2"
2018-06-20 16:04:13,"OPEN",TRUE,868018,"ACTIVE","25","2.31","34","3.15"
2018-06-20 16:04:13,"OPEN",TRUE,868018,"ACTIVE","25","2","34","4.1399999999999997"
2018-06-20 16:04:14,"OPEN",TRUE,868018,"ACTIVE","25","2","34","3.22"
2018-06-20 16:04:15,"OPEN",TRUE,868018,"ACTIVE","26","2","38","6.38"
2018-06-20 16:04:16,"OPEN",TRUE,868018,"ACTIVE","24","99.4","38","5.6"
